fechaUTC,horaUTC,latitud,longitud,profundidad,magnitud,localidad,ciudad,pais
20/09/1963,00:36.0,-11.3,-77.6,33,4.9,,Lima,Perú
29/10/1966,45:38.0,-10.978,-77.415,26,4.8,,Lima,Perú
20/11/1966,52:48.0,-11.956,-76.195,90,4.7,,Lima,Perú
26/11/1967,36:03.0,-12.566,-76.612,72,4.9,,Lima,Perú
3/02/1968,07:50.0,-12.597,-76.592,68,5.3,,Lima,Perú
3/02/1968,43:07.0,-12.714,-76.592,67,5.3,,Lima,Perú
12/03/1968,35:52.0,-11.39,-76.81,31,4.9,,Lima,Perú
29/08/1968,02:10.0,-11.05,-76.6,111,4.8,,Lima,Perú
28/09/1968,53:37.0,-13.171,-76.361,68,6.2,,Lima,Perú
3/04/1969,47:18.0,-11.4,-76.6,33,5.2,,Lima,Perú
22/01/1972,25:57.0,-13.176,-76.177,91,4.8,,Lima,Perú
3/04/1972,29:50.0,-11.643,-76.596,96,5.3,Huachupampa,Lima,Perú
25/04/1973,51:13.0,-10.897,-76.669,117,5,Santa Leonor,Lima,Perú
5/01/1974,33:51.0,-12.385,-76.285,92,6.6,Quinocay,Lima,Perú
3/10/1974,28:19.0,-12.797,-76.37,25,5,,Lima,Perú
5/10/1974,34:49.0,-12.535,-76.595,44,4.7,,Lima,Perú
8/10/1974,25:42.0,-12.495,-76.734,53,4.7,,Lima,Perú
8/10/1974,44:15.0,-12.486,-76.741,54,4.6,,Lima,Perú
8/10/1974,05:34.0,-12.486,-76.749,58,4.6,,Lima,Perú
9/10/1974,38:11.0,-12.472,-76.615,56,4.5,,Lima,Perú
9/10/1974,22:30.0,-12.49,-76.667,57,4.5,,Lima,Perú
10/10/1974,37:03.0,-12.462,-76.705,55,4.6,,Lima,Perú
13/10/1974,52:54.0,-12.474,-76.718,84,4.7,,Lima,Perú
13/10/1974,53:40.0,-12.393,-76.493,43,4.7,,Lima,Perú
13/10/1974,01:37.0,-12.472,-76.638,61,4.5,,Lima,Perú
18/01/1976,28:58.0,-11.701,-76.675,113,5.2,San Antonio,Lima,Perú
24/07/1976,49:12.0,-11.923,-76.788,123,5.2,Lurigancho,Lima,Perú
29/07/1978,34:00.0,-11.585,-76.477,94,5.3,,Lima,Perú
15/06/1979,53:39.0,-12.243,-76.76,74,5.7,Lurín,Lima,Perú
28/03/1982,24:51.0,-12.773,-75.976,88,6.2,Ayauca,Lima,Perú
11/09/1982,52:27.0,-12.04,-77.07,20,4.9,Lima,Lima,Perú
3/12/1982,08:06.0,-12,-77.04,25,4.9,Independencia,Lima,Perú
25/03/1983,02:01.0,-11.4,-77.3,35,5,Huaral,Lima,Perú
7/01/1984,46:40.0,-10.9,-76.73,28,4.5,,Lima,Perú
26/01/1984,30:59.0,-12.36,-76.93,53,5.6,,Lima,Perú
9/02/1984,19:10.0,-12.92,-76.34,63,5.7,,Lima,Perú
14/02/1984,37:31.0,-12.42,-76.94,53,4.5,,Lima,Perú
24/02/1984,44:17.0,-12.6,-76.45,68,4.9,Coayllo,Lima,Perú
1/03/1984,50:30.0,-12.35,-76.68,38,4.8,,Lima,Perú
24/04/1984,29:53.0,-11.23,-76.74,38,4.7,,Lima,Perú
8/05/1984,14:59.0,-11.42,-76.78,112,5.1,,Lima,Perú
24/12/1984,38:04.0,-12.13,-75.88,72,5.4,,Lima,Perú
13/10/1985,57:22.0,-11.04,-77.6,64,4.9,,Lima,Perú
